,"Delay ms",Level %,Pan %,F/B %,Speed,Depth %,Tap %,Mix %,Effect %,Direct %
011: Chorus 1,,,,,,,,63%,85%,50%
1,23.6,100%,-100%,0%,3.5,25%,100%,,,
2,30,100%,100%,0%,4,25%,100%,,,
3,38.1,100%,100%,0%,4.2,25%,100%,,,
4,47.6,100%,-100%,0%,3.7,25%,100%,,,
5,300,65%,-100%,45%,3.5,25%,100%,,,
6,400,65%,100%,35%,3.8,25%,100%,,,
7,341,65%,-100%,43%,4.7,25%,100%,,,
8,450,65%,100%,34%,3.3,25%,100%,,,
012: Chorus 2,,,,,,,,61%,100%,65%
1,25.1,100%,-100%,0%,3,25%,100%,,,
2,33.4,100%,100%,0%,4,25%,100%,,,
3,43.4,100%,100%,0%,3.4,25%,100%,,,
4,50,100%,-100%,0%,4.2,25%,100%,,,
5,300,60%,-100%,45%,3.5,25%,100%,,,
6,400,60%,100%,35%,3.8,25%,100%,,,
7,341,60%,-100%,43%,4.7,25%,100%,,,
8,450,60%,100%,34%,3.3,25%,100%,,,
013: Chorus 3,,,,,,,,61%,100%,65%
1,25.1,100%,-100%,0%,3,25%,100%,,,
2,33.4,100%,100%,0%,4.5,25%,100%,,,
3,95.6,70%,70%,0%,3.4,25%,100%,,,
4,120,57%,-70%,0%,4.2,25%,100%,,,
5,300,45%,-100%,45%,3.5,25%,100%,,,
6,400,45%,100%,35%,3.8,25%,100%,,,
7,341,45%,-100%,43%,4.7,25%,100%,,,
8,450,45%,100%,34%,3.3,25%,100%,,,
021: Chorus 4,,,,,,,,52%,80%,75%
1,15.1,100%,-100%,0%,3.8,27%,100%,,,
2,29,100%,100%,0%,4.3,27%,100%,,,
3,41.1,100%,-100%,0%,5,27%,100%,,,
4,37,100%,100%,0%,5.6,27%,100%,,,
5,300,40%,-100%,60%,3.5,27%,100%,,,
6,400,40%,100%,52%,3.8,27%,100%,,,
7,355,40%,-100%,58%,4.7,27%,100%,,,
8,463,40%,100%,50%,3.3,27%,100%,,,
022: Chorus 5,,,,,,,,50%,80%,80%
1,21.6,100%,-100%,0%,3.5,25%,100%,,,
2,29,100%,100%,0%,4,25%,100%,,,
3,50,100%,-100%,0%,4.2,25%,100%,,,
4,40,100%,100%,0%,3.7,25%,100%,,,
5,300,50%,-100%,50%,3.5,25%,100%,,,
6,400,50%,100%,40%,3.8,25%,100%,,,
7,341,50%,-100%,50%,4.7,25%,100%,,,
8,450,50%,100%,38%,3.3,25%,100%,,,
023: Chorus 6,,,,,,,,57%,85%,65%
1,21.6,100%,-100%,0%,3.5,25%,100%,,,
2,29,100%,100%,0%,4,25%,100%,,,
3,43.2,100%,-100%,0%,4.3,25%,100%,,,
4,37,100%,100%,0%,3.7,25%,100%,,,
5,300,45%,-100%,60%,3.4,25%,100%,,,
6,400,45%,100%,52%,2.3,25%,100%,,,
031: Chorus 7,,,,,,,,50%,80%,80%
1,31.5,100%,-100%,0%,4.5,25%,25%,,,
2,22.6,100%,100%,0%,5.2,25%,25%,,,
3,40,100%,-100%,0%,4,25%,25%,,,
4,48,50%,100%,0%,4.9,25%,25%,,,
5,250,40%,-100%,50%,3.8,25%,100%,,,
6,361,40%,100%,40%,4.2,25%,100%,,,
7,300,40%,-100%,50%,3.5,25%,100%,,,
8,400,40%,100%,30%,5,25%,100%,,,
032: Chorus 8,,,,,,,,47%,75%,85%
1,31.5,100%,-100%,0%,4.7,30%,100%,,,
2,22.6,100%,100%,0%,4.8,30%,100%,,,
3,40,100%,-100%,0%,6.2,17%,100%,,,
4,48,100%,100%,0%,7.1,17%,100%,,,
5,250,50%,-100%,50%,3.8,27%,100%,,,
6,351,50%,100%,40%,4.2,27%,100%,,,
7,300,50%,-100%,50%,3.5,27%,100%,,,
8,400,50%,100%,30%,5,27%,100%,,,
033: Chorus 9,,,,,,,,48%,75%,82%
1,31.5,100%,-100%,0%,4.5,50%,25%,,,
2,22.6,100%,100%,0%,5.2,50%,25%,,,
3,40,100%,-100%,0%,4,50%,25%,,,
4,48,100%,100%,0%,4.9,50%,25%,,,
5,250,40%,-100%,50%,3.8,35%,100%,,,
6,341,40%,100%,40%,4.2,32%,100%,,,
